,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yellowknife,62.456,-114.3525,46.92,87,75,4.61,CA,1632178653
1,Vaini,-21.2,-175.2,73.56,88,75,13.8,TO,1632178654
2,Hasaki,35.7333,140.8333,68.4,63,56,7.54,JP,1632178654
3,Ilulissat,69.2167,-51.1,22.03,75,100,5.06,GL,1632178572
4,Albany,42.6001,-73.9662,73.98,78,34,4.41,US,1632178426
5,Tuy Hoa,13.0833,109.3,75.43,91,100,7.23,VN,1632178655
6,Mataura,-46.1927,168.8643,49.62,87,99,3.8,NZ,1632178656
7,New Norfolk,-42.7826,147.0587,47.7,71,73,6.42,AU,1632178656
8,Pochutla,15.7432,-96.4661,84.02,65,91,5.48,MX,1632178657
9,Avarua,-21.2078,-159.775,78.85,69,75,6.91,CK,1632178657
10,Kavieng,-2.5744,150.7967,82.83,71,100,6.33,PG,1632178658
11,Balad,34.0164,44.1453,83.44,26,0,10.89,IQ,1632178658
12,Bambous Virieux,-20.3428,57.7575,68.25,73,40,13.8,MU,1632178659
13,Jamestown,42.097,-79.2353,72.72,87,98,9.57,US,1632178659
14,Geraldton,-28.7667,114.6,57.61,58,0,3.44,AU,1632178660
15,Saint-Philippe,-21.3585,55.7679,67.55,80,98,13.38,RE,1632178660
16,Rikitea,-23.1203,-134.9692,74.01,77,6,13.53,PF,1632178660
17,Okoneshnikovo,54.8377,75.0834,38.89,87,100,10.98,RU,1632178661
18,Fukuechō,32.6881,128.8419,78.06,79,6,15.84,JP,1632178661
19,Cape Town,-33.9258,18.4232,48.61,81,20,5.75,ZA,1632178662
20,Beatrice,40.2681,-96.747,73.38,53,1,18.41,US,1632178662
21,Castro,-24.7911,-50.0119,74.82,48,58,2.01,BR,1632178663
22,Torbay,47.6666,-52.7314,45.37,76,75,19.57,CA,1632178663
23,Provost,52.3501,-110.2683,63.82,38,73,6.24,CA,1632178664
24,Bluff,-46.6,168.3333,48.38,84,100,11.48,NZ,1632178665
25,Zigong,29.3416,104.7769,70.9,89,0,1.32,CN,1632178665
26,Independence,39.0911,-94.4155,85.48,61,75,3.44,US,1632178500
27,Mackenzie,55.2999,-123.1698,52.02,71,75,10.36,CA,1632178666
28,Busselton,-33.65,115.3333,51.51,64,0,9.42,AU,1632178667
29,Nouakchott,18.0858,-15.9785,87.73,68,5,22.39,MR,1632178667
30,Borås,57.721,12.9401,44.69,78,100,2.24,SE,1632178668
31,Tiksi,71.6872,128.8694,33.84,72,100,5.08,RU,1632178668
32,Port Elizabeth,-33.918,25.5701,53.89,82,75,18.41,ZA,1632178632
33,Naryan-Mar,67.6713,53.087,38.55,89,100,12.62,RU,1632178669
34,Lompoc,34.6391,-120.4579,91.54,53,1,11.5,US,1632178572
35,Lebu,-37.6167,-73.65,50.38,84,0,21.21,CL,1632178670
36,Sibolga,1.7427,98.7792,75.51,83,99,3.42,ID,1632178670
37,Punta Arenas,-53.15,-70.9167,53.71,62,75,32.21,CL,1632178670
38,Novo Aripuanã,-5.1206,-60.3797,81.39,61,83,2.08,BR,1632178671
39,Khani,41.9563,42.9566,53.17,80,0,6.26,GE,1632178671
40,Port Hedland,-20.3167,118.5667,77.05,19,100,13.8,AU,1632178672
41,Tsabong,-26.0217,22.401,53.37,33,0,11.95,BW,1632178672
42,Kholm-Zhirkovskiy,55.5189,33.4731,40.77,96,100,15.32,RU,1632178673
